,Comment,toxic,severe_toxic,obscene,threat,insult,identity_hate,total_classes
362,Main subscribe nahi kar sakta senorita<br>Kuch pane ke liye kuch khona padta hai<br>🤔,1,0,1,0,0,0,2
363,"Meri ek baat suno please padh lena, tum jaake manthanhub naam ke channel ka video dekho kafi saari videos hai. upar se niche tak sab dekh jao.<br><br>ushke baad tumhe pata chalega ki yeh science galat hai. dekho videos banao but <br>thoda scientific. aaj kal har baat pe scientic laga dete hain",0,0,0,0,0,0,0
364,I think this Idea is Revolution !,0,0,0,0,0,0,0
365,Product ka  review kab hoga ,0,0,0,0,0,0,0
366,Ab yahi ek Rasta bacha hai,0,0,0,0,0,0,0
367,Ladkiya ni kharidnae wali   ladko ka pta nhi pr ladkiyo ke liye easily boy available h itna b sukha ni chl raha ladko ka ki gadgets kharidna padhe,1,0,0,0,1,0,2
368,Channel ka name itna churiyaaa jesa kyu rakha madam nah chakr bhi har insan apko ghanda hi bolega is channel ka name sunkar,1,0,0,0,1,0,2
369,It seems that it does have many uses ,0,0,0,1,0,0,1
370,Are aap virgin ho ya nahi,1,1,1,0,1,0,4
371,"Ye gyann humare kisi kaam ka nhi <a href=""",0,0,0,0,0,0,0
372,"So i already have basic knowledge about these things . But i still watch the channel because of shrutika , you are my new crush . Would like to date u some day  .",0,0,1,0,0,0,1
373,3000 ke device sa accha  1000 ka 3 shot le lunga,1,0,0,0,1,0,2
374,There are more good things in the world we can talk about!,0,0,0,0,0,0,0
375,Or merko relationship cahhea apka sath ,0,0,1,0,0,0,1
376,Hamare Ghar Wale Anumati Nhi Denge 🤣🤣🤣,0,0,0,0,0,0,0
377,,0,0,0,0,0,0,0
378,Ye pàta tha,0,0,0,0,0,0,0
379,Weird....,0,0,0,0,0,0,0
380,Sir 3000...lgta h didi ko bhut sponsor mil rhe h..... <br>Yha 500me pura hole mil rha h wo v nhi le pa rha hu,1,1,0,0,1,0,3
381,isme 3k or milake me russian bula lunga ,1,0,0,0,0,0,1
382,You came in my dream,0,0,0,0,0,0,0
383,iss ladkiyon ko dekh ke lagta hai...roj swx kar karke....kupusan ka sikar hogaye h,1,1,0,0,1,1,4
384,Kiss krne ke liye koi honi to chahiye na,0,0,0,0,0,0,0
385,Yeh to kissing ke liye use Nehi hoga ji.... samajhdaar log samajh gaye honge,1,0,0,0,0,0,1
386,3000 me to easily ek Russian aa jayegi ....isko leke kya karu,1,0,0,0,0,0,1
387,La partner de meko...,0,0,0,1,1,0,2
388,Next step to invent online sex machine,1,0,0,0,1,0,2
389,Kaash main aur tum yeh device use kar sakhte the🤭,0,0,0,0,0,0,0
390,Shukr Hai condom China Mein Nahin banaa..‍<br>Vaise didi kissi wissi chahie hoga to phone kijiega.. ,1,0,1,0,1,0,3
391,Kiss ke liye ladki chahiye wo bhi zinda chahiye ,1,0,0,0,1,0,2
392,तुम्हारे होंठ का जाऊं मैं तो इतने प्यारे हैं,0,0,0,0,0,0,0
393,But deep inside we all know we want sucking device,1,0,0,0,0,0,1
394,I have already ordered one ‍‍‍,0,0,0,0,0,0,0
395,Listen buy a s*x doll if don&#39;t have a partner,1,1,0,0,0,0,2
396,Ajao try krte hai 🥹,0,0,1,0,0,0,1
397,6000 mei toh Russian aa jati,1,0,0,0,0,0,1
398,Op,0,0,0,0,0,0,0
399,Apko Jo chahiye wo toh Maine apke ke phele hi kar diya,1,0,1,0,0,0,2
400,Teri Chuu....... Dunia ki sabse bhaddi gandi dekhne wali ... Chuuu... Hogi kasam se... I can imagine by your face .. ,1,1,0,0,1,1,4
401,Love frm ASSAM ,0,0,1,0,0,0,1
402,Pehli baar kisi influencer ne Assam ko bhi mention Kiya 🥺lob u didi,0,0,1,0,0,0,1
403,Hm 🥲,0,0,0,0,0,0,0
404,@ABHI PRATAP Singh 🥺🥺,0,0,0,0,0,0,0
405,Exactly 🥺🥺 Joi Axam,0,0,0,0,0,0,0
406,"Didi ruk jaao Yaar , Bhagwan Upar Hunter maarega . Bhagwan se daro Thoda....",1,0,0,1,1,0,3
407,App nasha karte ho na mujhe to app charsi lag rhe ho or dikhti bhi ho ganjedi,1,1,0,0,0,0,2
408,kissi🤣,1,0,0,0,0,0,1
409,Pahli experiment aap pe karenge log ,1,0,0,0,1,0,2
410,Please upload video on sexual health care thing because in market there is so many misleading video...,0,0,0,0,0,0,0
411,Oh hell nah wtf man 🤕🤕🤒,1,0,0,0,0,0,1
412,1. Partner Nhi hai<br>2.Paise bhi nhi hai,0,0,0,0,0,0,0
413,"Ese hi ek Machine <a href="" ke liye bhi mangta Bharat....",1,0,0,0,0,0,1
414,Baki mai Janta hu aapko kya chahiye.  ,1,0,1,0,0,0,2
415,Kisi ko vi kiss ker sakte hou <br>Me :,0,0,1,0,0,0,1
416,Kya aap dono bhi Ek Dusre ko orgasm kar Te ho,1,0,1,0,1,0,3
417,It&#39;s called online kissing ,1,0,0,0,0,0,1
418,Waah !!! Sab kuch online kardo. Bas ab yahi dekhna baki tha 🤦‍🤦‍🤦‍,1,0,0,0,0,0,1
419,​@Jigar Kashyap sahi kha bhai,0,0,0,0,0,0,0
420,Kyo jab tum se expect nahi kar sakte to yehi sahi hain na.,1,0,1,0,0,0,2
421,Mai socha inko bhi kiss chaiye ,0,0,1,0,0,0,1
422,Long distance sex wala kab aayega,1,0,0,0,1,0,2
423,Hii,0,0,0,0,0,0,0
424,Hello,0,0,0,0,0,0,0
425,"<a href=""",0,0,0,0,0,0,0
426,Dill varke kiss karlena,1,0,1,0,0,0,2
427,Ye device ka jarurat nhi hai,0,0,0,0,0,0,0
428,Mere pass aja,0,0,1,0,0,0,1
429,1st I want partner for this....single life...,1,0,0,0,0,0,1
430,Kis ka siwa kuch aur bi ho sakta he ,1,0,0,0,1,0,2
431,🤣🤣🤣wah kya device hai,0,0,0,0,0,0,0
432,Assam ka nam lene ke liye bohut bohut dhanyawad.Jai aai Assam. Assam or bilake eta like diba.,0,0,0,0,0,0,0
433,De r,0,0,0,0,0,0,0
434,Indian Seller :  Ab kiss krna hua asan 🤣🤣<br><br>Custemr : Bhaiya ek kiss bhejwana tha 🤣<br><br>Pro custemr : demo mil saktahe kya <br><br>Pro max :  Srif kiss ke lie ya or kuch bhi Krsaktehen 🤣🤣🤣,1,1,0,0,1,0,3
435,Guys inka sary subs boys ha or most videos ma mazak bnate ha in Chootio k channel ko report kro dkhna ro degi,1,1,0,0,0,0,2
436,App download??? Woh sirf ek khilona h! ,0,0,0,0,0,0,0
437,le single:,0,0,0,0,0,0,0
438,Ye Chinese partner kab invent kr rhe hai ,1,0,0,0,1,0,2
439,Aapki right eye pe black mark hai..........yaa sirf mujhe lag rha hai????,0,0,0,0,0,0,0
440,Partner ka lips samaz ke muh me bhi de sakte ho 🤣🤣🤣🤣🤣,1,1,0,0,0,0,2
441,Aap ne le liya hai ya mai bhej do,1,0,1,0,0,0,2
442,Howard and Raj already did it way back in 2009,0,0,0,0,0,0,0
443,Chutiyapa hai ,0,1,0,0,0,0,1
444,Bsdk machine toh mai 100 le lu magar partner kha se lau ? Russian toh 6k me aati hai magar sirf 2hrs garib aadmi kha se afford karega 🥹,1,1,0,0,1,0,3
445,or aapko kya lagta hai...yeh sirf kiss ke liye use hone waala hai?<br><br>Edit:- Stop this SUS SUS SUS SUS SUS<br>Edit2:- Areyyy bass karrr bhyiiii picchhaa chhor mera<br>Edit3:- Jitne logon ne like kiya...utne he log bss subscribe krdo mera channel monetize hojayega ,1,0,0,0,0,0,1
446,Sus,1,0,0,0,0,0,1
447,​@Mr.... sahi kaha,0,0,0,0,0,0,0
448,Sus ,1,0,0,0,0,0,1
449,Itne mei Tera fit aa jayega?,0,1,0,0,0,0,1
450,Sus Sus sus sus sus Sus SUS,1,0,0,0,0,0,1
451,Tumhe subscribe nahi chahiye Kuch aur chahiye 🫣,1,0,1,0,0,0,2
452,Orignal Kiss is Always Orignal lip Kiss ,0,0,1,0,0,0,1
453,Wo to sahi hai leken original milegi nahi ...alternative use karna padega,1,0,0,0,0,0,1
454,Vertical or horizontal one?,1,0,0,0,0,0,1
455,Jo kaho ye Bandi hot hai mahol Bana deti hai.,1,0,1,0,0,0,2
456,pov china in 2030<br>  ~ Online laura only in 6000 and something,1,1,0,0,0,0,2
457,Humko sala ladki Nehi mil rehi<br>..,1,0,0,0,1,0,2
458,1 subscribe = 1 kiss ,1,0,0,0,0,0,1
459,Hmm acha thick ha,1,0,0,0,0,0,1
460,🤣🤣,0,0,0,0,0,0,0
461,3000 se acha aur thoda save karke 6000 me russian aajayengi,1,0,0,0,1,0,2
462,Russian kaha milegi Bhai hame bhi batao ,1,0,0,0,0,0,1
463,​@Bhavesh Solankirubber se feel nhi milega🤫,1,0,0,0,1,0,2
464,@Harsh Vaswani Lekin One time me bhi Lene mil raha hai isme toh khali rubber hai,1,0,0,0,1,0,2
465,"Vo one time use, ye , chale to chand tak nai to shaam tak ",0,0,0,0,0,0,0
466,🥲🥲🥲🥲,0,0,0,0,0,0,0
467,Koi kiss krne wali hai he nhi 🤧🤧🤧,1,0,0,0,0,0,1
468,Muja laga kush aur Chiya,0,0,1,0,0,0,1
469,Mereko kiss karne wali chahiye🥺<br>Koi dhund dhand k dila doo.....<br>AAP logo ka Saturday night wala show kidhar gaya,1,0,0,1,1,0,3
470,APNE BUDGET ME NA AA PAYEGA  YEH KISSING DEVICE ,1,0,0,0,0,0,1
471,khud ko strong banao or female se durr raho  bhramchary apno dosto,0,0,0,0,0,0,0
472,Meanwhile hacker alag se free me maje lega🤣,0,0,0,0,0,0,0
473,​@Karanjo bhi ho maza toh confirm hai,1,0,0,0,0,0,1
474,@GW DEEPAK Russian nhi to Indian to pakka aa jayegi,1,0,0,0,1,0,2
475,​@oye ....,0,0,0,0,0,0,0
476,I saw 69 comments  <br>It&#39;s 70th,0,0,0,0,0,0,0
477,is product ka review bhi chaeya hme ,1,0,0,0,0,0,1
478,Wo bhi Aap ye product ki live review dedo  medam ji,0,0,1,0,1,0,2
479,3000 me kiss chordo sab kuch mil jayega,1,0,0,0,0,0,1
480,Partner kaha se laye wo to btao ,0,0,0,0,0,0,0
481,mobile  to hai pr partner  to chahiye yar,0,0,0,0,0,0,0
482,Simp,1,0,0,0,0,0,1
483,Ek aap lelo ek me ham dono try krte hai thik ha didi,0,0,1,0,1,0,2
484,Kisiko bhi bola tha main khush hogaya 🥺 ki.shruti ko 20 hrs roj kiss kruga,0,0,1,0,0,0,1
485,Mujhe toh kuchh aur chahiye,1,0,0,0,0,0,1
486,Disclaimer: No Virat Kohli harmed in this video,0,0,0,0,0,0,0
487,meanwhile virat kohli : usko touch kaise kiya m🤬,0,0,0,1,0,0,1
488,​@GWA FREE FIRE ,0,0,0,0,0,0,0
489,,0,0,0,0,0,0,0
490,Howard wolowitz was a visionary...he invented that thing years back...,0,0,0,0,0,0,0
491,aur zoom in karliya karo ,0,0,0,0,1,0,1
492,Nahi aapko pata nahi hai aapko kya chahiye. Aapko chahiye mere jaisa ek partner. By the way aapka naak ka nathani mast hai,1,0,1,0,0,0,2
493,Baby can i have your Facebook id ,1,0,1,0,0,0,2
494,"<a href=""",0,0,0,0,0,0,0
495,  yea sidha karneka kaoi upay dedo <br>yea phir kuch problem  hoga ki nahi kuch to batado please ,0,1,0,0,1,0,2
496,You want 1 subscriber and I want 1 gf please,0,0,1,0,0,0,1
497,Isse acha hum soch ke🤔 kaam chla lenge.. ,1,0,0,0,1,0,2
498,I love you so much for yourself,0,0,0,0,0,0,0
499,But kissing a real human is an vera level satisfaction.....<br>,0,0,0,0,1,0,1
500,Assam????,0,0,0,0,0,0,0
501,ASSAM ,0,0,0,0,0,0,0
502,Jai aai axom,0,0,0,0,0,0,0
503,Guys have  u studied in any medical colleges or having experience in this field.  Ya it&#39;s just copy paste fact from Google and article ur just telling,0,0,0,1,1,0,2
504,india me available hai kya ye ؟؟؟,0,0,0,0,0,0,0
505,Machine tu mil jai gi par partner 🥺,1,0,0,0,0,0,1
506,Sala vo sb chhodo  merko Virat Kohli k liye bura lgra ...uski biwi k sath kon mze le rha ,0,1,0,0,0,0,1
507,Didi machine toh khareed li ab partner khaa se laaau,0,0,1,0,1,0,2
508,Tera kuchh nhi so sakta behan ke laude <br>For fun only <br>Don&#39;t be serious,0,1,0,0,0,0,1
509,"@Dhruv Banker ye to anyay he ,har gav redbajar banane ki jumbes karni chahiye har kuvare ladke ko..jis se gali ki ladkiya ko bhi koy paresan nahi karega..sadi barbadi se bach jayege.<br>or yis morche ke pramukh honge patra kar popat lal.",1,1,0,0,1,0,3
510,yesi bevkufi karne se pahle nahi socha !<br>yin se achh randi bajar chale jata.1000 me hojata..3000 dene ke bad bhi partner ki janjat yis liye ye machine flop gayi..,1,1,0,0,0,0,2
511,Ayo Sus ,1,0,0,0,0,0,1
512,​@motivation shorts exactly the same I was thinking to write,0,0,0,0,0,0,0
513,I need partner,0,0,1,0,0,0,1
514,Mujhe kya mai toh single hu ,0,0,0,0,0,0,0
515,Is se badhiya main ek s** doll lelu,0,1,0,0,1,0,2
516,China me talent ki jarabhi kami nahi hai,0,0,0,0,0,0,0
517,Bhai 3000 me to mil hi jaayegi,1,0,0,0,0,0,1
518,@gullu abe c. Mazak kar raha hu kyon har jagah serious ho jaata hai,1,1,0,0,0,0,2
519,c.  ke piche bhoot mat bano strong bano self Pride Lao khud me,1,0,0,0,0,0,1
520,​@Lund ka Topa ,1,1,0,0,0,0,2
521,​@kapil patidar hamare yaha 6000 mein a jati hai russian,1,0,0,0,0,0,1
522,@kapil patidar device leni hi kyo sidha bulao,0,0,0,0,0,0,0
523,Good work for you,0,0,0,0,0,0,0
524,Firr bhi woh feel nai jo real mein I mean really the exhale ,1,1,0,0,0,0,2
525,Bhai experience hai?,0,0,0,0,0,0,0
526,Soya chunks ke baje se man boobs badhte he ??? this fact or myth ?? ,1,1,0,1,0,0,3
527,Myth hai bs  lekin iske bdle paneer aur chicken kha isme body bnegi,0,0,0,0,0,0,0
528,Soya chunks ke baje se man boobs badhte he ??? this fact or myth ?? ,1,1,0,1,0,0,3
529,Soya chunks ke baje se man boobs badhte he ??? this fact or myth ?? ,1,1,0,1,0,0,3
530,Soya chunks ke baje se man boobs badhte he ??? this fact or myth ?? ,1,1,0,1,0,0,3
531,Assam mei 🤣,0,0,0,0,0,0,0
532,Assam:),0,0,0,0,0,0,0
533,Assam ,0,0,0,0,0,0,0
534,You should also tell about how to grow pp  I&#39;m sure boys are very curious to know about that like if u agree ,1,0,0,0,0,0,1
535,My dirty mind ,0,0,0,0,0,0,0
536,Exactly,0,0,0,0,0,0,0
537,"Indian ladko ko bas S€X k bare me hi Jaana Hai bs, tabhi Indian men ki koi respect nhi krta h, pura world Indian mens ko pervert aur r@pist samajhti h.",1,0,0,0,1,0,2
538,Maine socha kiss mangne valli hai,0,0,1,0,0,0,1
539,Full Support To Made In China <br>Jk lol,0,0,0,0,0,0,0
540,Maine 20bar kiya hai,0,0,0,0,0,0,0
541,Report this channel and off this content,0,0,0,1,0,0,1
542,Ye india me bhi hona chahiye ,0,0,0,0,0,0,0
543,​@Naman Verma ,0,0,0,0,0,0,0
544,Indian government should make bandi first,1,0,0,0,0,0,1
545,@Naman Verma nahi,0,0,0,0,0,0,0
546,@Optimus Prime tujhe kyu mirchi lag rahi hai,0,0,0,0,0,0,0
547,Bandi h teri,1,0,0,0,0,0,1
548,mujhe jail me sex karna hai,1,0,0,0,0,0,1
549,​@hritk Mei v bro,0,0,0,0,0,0,0
550,Bhai me ja raha punjab jail,1,0,0,0,0,0,1
551,Aapke saath ,0,0,1,0,0,0,1
552,Mujy to mia khalifa cahiye ,1,0,0,0,0,0,1
553,Aap ki bato se lagta hai aap s*x in the jail me jyada intrested hain... Dekhna kahi apko hi jail me na karna pdhe.. ,1,1,0,0,0,0,2
554,Aap to bahat dekhi rahe hoge,0,0,0,0,0,0,0
555,Mujhe apke liye kuch lagta he,0,0,0,0,0,0,0
556,Last two lines ,0,0,0,0,0,0,0
557,Madam se puchna chahta hu meri koi gf nhi hai agar me jail me jau to mujhe bhi moka milega ya nhi ye bato bas app ,1,0,0,1,0,0,2
558,Apko karna h kya sex,1,0,0,0,0,0,1
559,the most excited person ,0,0,0,0,0,0,0
560,Jail Jane se phalee app ki lakea jayng ga,1,0,0,1,1,0,3
561,Room ka jogar hogya...,1,0,0,0,0,0,1
562,Kya aap jana chahenge,0,0,0,0,0,0,0
563,Mujhe to lagta hai tu bhi jail jayegi,0,0,0,1,1,0,2
564,A,0,0,0,0,0,0,0
565,ha bahut jadi he ,0,0,0,0,0,0,0
566,Sex,1,0,0,0,0,0,1
567,Jinko umar kaid ki saza hue hai madam info toh puri diya kro ,1,0,0,0,1,0,2
568,Kaise kaise maja aata h iske baate sunkar ,0,1,1,0,1,0,3
569,Kya content,0,0,0,0,0,0,0
570,Bhai itni hawasi ladki mene duniya me aaj takk nahi dekhi. I want you ,0,1,0,0,1,0,2
571,Sala sex ko kitna next level pe le gye hai log chutiya saale jhaa se bathroom aaya hai usko chatna hai in logo ne 🤮🤮🤮🤮mrjaao ,1,1,0,1,1,0,4
572,cute,0,0,0,0,0,0,0
573,Me kabhi search nhi kya hu lekin is video dekhane ke bad me kar rha hu,0,0,0,0,0,0,0
574,Mujhee jail jana hy,0,0,0,0,0,0,0
575,Mereko to isko hi thokne ka mann kar raha hai🤤,1,0,0,1,0,0,2
576,Punjab gov. Ko aur kuch n mila.. sara vikaas ho rakhaa,0,0,0,0,0,0,0
577,Tum tere Bhai or papa ko khana ye bat,0,0,0,0,1,0,1
578,Tum jeso ki vaje se India kharab ho raha he,0,0,0,0,0,0,0
579,ab mai ja raha hu ,0,0,0,0,0,0,0
580,Single____didi kis bara ma baat kar rahi ha  sunkar lagta ha inko bahut jada experience ha ,0,0,0,0,1,0,1
581,Mai murder karke ghum raha hun Punjab police kaha hai,0,1,0,1,0,0,2
582,ab aap kro to krta hain,0,0,0,0,0,0,0
583,Fake you,1,0,0,0,0,0,1
584,Tu kitni hot hai yaar,0,1,0,0,1,0,2
585,I want to with you ,0,0,1,0,0,0,1
586,Nhi didi humne do nhi kia lkn lag rha apne kia hay tabhi itni knowledge hay apko ,1,0,0,0,1,0,2
587,Tum Kitna logi,1,0,0,0,0,0,1
588,Tum v ana mai wahi ja raha hu,0,0,0,0,1,0,1
589,bechare dil jale ashiqo ka kya hoga jail ke andr yeh sab dekhkr..,0,0,0,0,0,0,0
590,Sex k ilawa kuch hai bhi tmhary pas,0,1,0,0,0,0,1
591,I l u,0,0,1,0,0,0,1
592,Tera kya hoga FIR,0,0,0,0,0,0,0
593,Hoooooo,0,0,0,0,0,0,0
594,Are yr kya hi item hai tu,0,0,1,0,0,0,1
595,Mtlb tum kr chuke,0,0,0,0,0,0,0
596,Tari Sath krna hai s,1,0,0,0,0,0,1
597,Mera chordo didi bohot bindas he ,0,0,0,0,0,0,0
598,mai to sabsa pahla aap ko sut karu gy <br>i hate you,0,0,0,1,0,1,2
599,mjy b jail jana hai,0,0,0,0,0,0,0
600,You have done porn,0,1,0,0,1,0,2
601,tu free ahes kay m,1,0,0,0,0,0,1
602,Yar tum ho Kun,0,0,0,0,0,0,0
603,Tum sex karne dogi to chala jauga,1,0,0,1,0,0,2
604,Ham single toh mutthi hi marenge yrr ,1,0,0,0,1,0,2
605,"Aree didi ji headphone warning de deti, parivar ke saath baithe the...",0,0,0,0,0,0,0
606,ye koi randikhana hai,0,1,0,0,0,0,1
607,Didi marvake manegie ,0,1,0,0,1,0,2
608,Ap k sat maza ayga,0,0,1,0,0,0,1
609,"tu degi kyaa 500 rs de dunga sali <a href="" 🤣",0,0,0,1,1,0,2
610,Ek baar bas ek Partner ka juggad ho jaye<br>Me taiyar hu Punjab ki Jail me jane ke liye ,0,0,0,0,0,0,0
611,Tera pas jaiga,0,0,0,0,0,0,0
612,Tumhari Sath karungi baby,0,0,1,1,0,0,2
613,Tumko shadi karenge,0,0,1,0,0,0,1
614,issue bandi ko sab pata hai Kya search  karte hai,0,0,0,0,0,0,0
615,ab kuch gunh karna hoga,1,0,0,0,0,0,1
616,"Jail jaunga or tumhe bulaunga <br>Fir,................<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>TAPATAP ",0,1,0,0,1,0,2
617,Apke family bale kya sochte hoge apke bare me,0,0,0,0,1,0,1
618,Apko yah bat karte sarm nhi aati kya,0,0,0,0,1,0,1
619,Jail me Tum jaogi ki kya chodwane k liye,1,1,0,0,0,0,2
620,Pagal ki buchii lant tumhari information dene pe tu b najaiz sex ka nateeja ho..,1,1,0,0,0,1,3
621,jiske pass gf ya wife na ho jail me uske liye tum hi ko bheja jayega,1,0,0,0,1,0,2
622,Aap chaho to Mai  jail Jane ke liye  taiyar hu,0,0,1,0,0,0,1
623,Sex to karna hai par koi nahi sex ke liye ,0,0,1,0,0,0,1
624,Didi tume BADA masja aa he sex me sadi karlo,1,0,1,0,0,0,2
625,Ma jail chala jata hu tum ao gi kya ???,0,0,1,0,0,0,1
626,Uske bhad Xvideo mein a Jaenge video.,0,0,0,0,0,0,0
627,Tum  ko sex mai kuch hi  jyada interest hai 🤨,1,0,0,0,0,0,1
628,Poodi tari lai nai,1,0,0,0,0,0,1
629,Aby yeh lrki ku hai isy to lrka hona chayeh kanhi sex ka treeqa kabhi condum laghany ka tareeqa bhai 🤣🤣🤣🤣,1,0,0,0,1,1,3
630,Usse ZYADA TOH AAP KO EXITMENT HO RAHI HAI,0,0,1,0,0,0,1
631,Suno aap single ho,0,0,0,0,0,0,0
632,Mujhe jail jaane ke bad sex karna hai ,1,0,0,0,0,0,1
633,Kyo nahi abhi to population kam he Bharat ki  <br> Jai hind ,0,0,0,0,0,0,0
634,Tum pa sa ya sab bad shot nhi kar ta didi ....kya boys itna bi sex ka pagal hogaya  ...har ya hi  bad son ta hu only sex and hawas sa barpor..yar ya sab naturaley ha isa q gandi najar sa dak ta ha,1,1,0,0,1,0,3
635,Tu  aa rahi hai kya,1,0,0,1,1,0,3
636,Our usme spy cam rakhe gah porn live telecast,0,0,0,0,0,0,0
637,Ye sab kya sunna pad raha hai madam badi maje se Bata rahi hai ,0,0,1,0,0,0,1
638,Tujhe abhi block karta hu,0,0,0,0,0,0,0
639,Tumhare sath korna hai,0,0,1,0,0,0,1
640,Sex,1,0,0,0,0,0,1
641,"Aaj jail , kl jail ,fir wahi purana khel ",0,0,0,0,0,0,0
642,Fudu km jnaniya nu jail bhejo bnda na Ghar bhejdo 10 din lyi,1,0,0,0,0,0,1
643,Jo bhi bolo tum ye baat bolti ho to maja aa jata hai,0,0,1,0,0,0,1
644,AP ke saath,0,0,0,0,0,0,0
645,Me to ye Soch ke pagl hoye ja rha Hu ki agar Apke papa ko charlog puchte hoge apki beti kis topic pe video bnati hai to o kya Bolte hoge,1,0,0,0,1,0,2
646,Jhony bahi na har jaga larkeyou ko choda ha,0,1,1,0,0,0,2
647,Tu agr jail mai Time spend karne aayegi to jail bhi chale jayengy 🥱,0,0,1,0,0,0,1
648,Wo sab to thik hai tumhare lips itne chote q hai,0,0,1,0,0,0,1
649,🤣,0,0,0,0,0,0,0
650,Baba raam raheem ji ko bhejo vsha,0,0,0,0,0,0,0
651,Dekho jaisa aap bolo vaise hi karte hai aapko kaaha majha aaaye ga jail main ya ghar mein,0,0,1,0,0,0,1
652,My life me fast time tumare sath ek ratt  chaloge,1,0,0,0,1,0,2
653,Apkoo bahat experience he,0,0,0,0,0,0,0
654,Mujhe jail jana hai,0,0,0,0,0,0,0
655,Tera ko kar na hmm 🤔🤔🤔🤔🤔,0,0,0,0,0,0,0
656,Aare didi koi ladki too mile,0,0,0,0,0,0,0
657,Sex pr phd kiye ho kya tumne ,1,0,0,0,0,0,1
658,Tu kya kregi i gi jel me ,0,0,1,0,1,0,2
659,mujhai iskae saath karna hai,0,0,1,0,0,0,1
660,Jada saynii mat ban bhag,0,0,0,1,1,0,2
661,Raip karke jail jayenge,0,1,0,1,0,0,2
662,Waah kya facilities hai jail mein hii ghapaa ghap,1,0,0,0,0,0,1
663,Hum aapke sath karenge,0,0,1,0,0,0,1
664,Sabse pahle tumhe try karna chahiye,0,0,1,0,0,0,1
665,apka sath ekbar karna chati hon,1,0,0,0,0,0,1
666,Tu kitni baar gyi chudane jail,0,1,0,0,1,0,2
667,"Tmhe kaise pata hm yahi chiz search krte hai ,,. Kuch to garbar hai re deva",0,0,0,0,0,0,0
668,Koi naahhh tho me mia ko bolunga ki ek din aajha ,1,0,0,0,0,0,1
669,Aaj Jao sath mey jail jate hey baby banana hey,0,0,0,0,0,0,0
670,Kya mam aapko kaise pta,0,0,0,0,0,0,0
671,Tu aar mea chale jayeka,0,0,0,0,0,0,0
672,Tum ajao lr le ge tumhare sath,0,0,1,0,0,0,1
673,Mughe to tumhara sath karna hai🤤<br>I mean pyar🥺,0,0,1,0,0,0,1
674,Aap aao dekhte h m kya kar paungaa,0,0,1,0,0,0,1
675,Madam tumare lay luga mai,0,0,0,0,0,0,0
676,Aap ke jesi wife hoto Jail me Jana bhi chalega,0,0,1,0,0,0,1
677,Me to teri Lena pasand karunga ,1,0,0,0,0,0,1
678,Aye  pagal ladkimutti lagwaygi kya lund khada kar diya tune Mera ,0,1,0,0,0,0,1
679,unse to jada tu interested lag rhi he,0,0,0,0,1,0,1
680,Aap miloge to sex hi kr lenge,1,0,0,0,1,0,2
681,Yeh madam humesha sex ko lekar bahut jyada excited rehti hai 🤣🤣🤣🤣🤣🤣,1,0,1,0,0,0,2
682,Tumhare ko lagte Ho to bahut maja aata bahut express hai aapko awaaz jankari madam aapko to ,0,0,0,0,0,0,0
683,didi ke paas kaafi gyan hai.,0,0,0,0,0,0,0
684,Aao na,0,0,1,0,0,0,1
685,Kaidi ka pata nahi lekin jelar jarur lega,1,0,0,0,0,0,1
686,Mam Chaliye hum dono jate h,0,0,1,0,0,0,1
687,Mohtarma apna Gyan mat chda kro to aapko bhi jana hai vahan,0,1,0,1,0,0,2
688,Mujhe ap ke sath karna hai 🤭vahin,0,0,1,0,0,0,1
689,Tum ajao,0,0,0,0,0,0,0
690,Ma kassam se* in jail to kabi many suna bi nahi ta ... Didi  ya tumary ijad hy ,1,0,0,0,0,0,1
691,Khatam byee tata kalyug khatam ho jayega jaldi,1,0,0,0,0,0,1
692,Min bhi jaunga,0,0,0,0,0,0,0
693,Mera toh land uper aa gaya,0,1,0,0,0,0,1
694,Jailer be like : lagta hai kothe wale ho   <br>gye hai ,1,0,0,0,1,0,2
695,Mein punjab mein hi rehta hun ,0,0,0,0,0,0,0
696,Bhen chut ho tum tu jho aur karo,0,1,0,0,0,0,1
697,Waha girlfriend allow h kya 🤣🤣🤣🤣🤣🤣,0,0,0,0,0,0,0
698,Jail me shadi nhi hogi kya,0,0,0,0,0,0,0
699,Hum jail jaa chuke h,0,0,0,0,0,0,0
700,Tum sex karta ho ky,0,0,1,0,0,0,1
701,Tuj ko jodna chahta hooo,0,0,1,0,0,0,1
702,Single log ne kya police ko Lena kya,0,0,0,0,0,0,0
703,Aur Bhagwan kare tum meri partner raho<br>FIR to jail mein <br>You know what I mean,1,0,0,0,0,0,1
704,jiska sadi na hua ho ya gf na hua ho to muth marna padega ,1,0,0,0,1,0,2
705,Tumko ,0,0,0,0,0,0,0
706,Chal sali ma hove te ,1,0,0,0,0,0,1
707,Aba gar pa kam kar ja apni maa mat chuda,0,1,0,0,0,0,1
708,aap baho sex sex karte ho ,0,0,1,0,1,0,2
709,Hm to hilake hi jindagi par kar denge ,1,0,0,0,0,0,1
710,Me bhi jel jaungi,0,0,1,0,0,0,1
711,Officer log hi iska fayda uthayenge mc,1,0,0,0,0,0,1
712,main tumhara sath karna chata hu babu sona,0,0,1,0,0,0,1
713,Ham tara ko da ga ok,1,0,0,0,0,0,1
